Orthogroup	Bacillus_subtilis_aa	Rhodococcus_erythropolis_aa
OG0000123	CAB12697.2, CAB13305.1, CAB12810.1	ALU70312.1
OG0000124	CAB12740.1	ALU68151.1, ALU72435.1, ALU70640.1
OG0000125	CAB15778.2, CAB14148.1, CAB12851.2, CAB15138.2	ALU68375.1, ALU68316.1
OG0000126	CAB13434.1, CAB12931.1	ALU72219.1, ALU70216.1, ALU68096.1, ALU70396.1
OG0000127	CAB15565.1, CAB12951.1	ALU70374.1
OG0000128	CAB13157.2, CAB13004.1, CAB12994.2	ALU68153.1, ALU73512.1, ALU67724.1
OG0000129	CAB15210.2, CAB15200.1, CAB13086.1	ALU69742.1, ALU68654.1, ALU70981.1
OG0000130	CAB13113.1	ALU71334.1
OG0000130	CAB13346.1, CAB14242.2, CAB14654.1	ALU72580.1, ALU71446.1
OG0000131	CAB15454.1, CAB13166.1, CAB13167.1, CAB15455.1	ALU72880.1
OG0000132	CAB13188.1, CAB13629.1	ALU73505.1, ALU68404.1, ALU72587.1, ALU72517.1
OG0000133	CAB13394.1, CAB13358.1	ALU68184.1
OG0000133	CAB15838.1	ALU70588.1, ALU69425.1
OG0000134	CAB13862.1, CAB13409.2	ALU67888.1, ALU68953.1, ALU70879.1, ALU70004.1
OG0000135	CAB13802.1	ALU72454.1, ALU70794.1, ALU70515.1, ALU68806.1, ALU69827.1
OG0000137	CAB14828.1	ALU69098.1, ALU72630.1, ALU71257.1, ALU70074.1, ALU68193.1
OG0000138	CAB14933.1	ALU69465.1, ALU72645.1, ALU72359.1, ALU69272.1, ALU68632.1
OG0000139	CAB15036.1, CAB15213.2	ALU72845.1, ALU69229.1, ALU69107.1, ALU72846.1
OG0000140	CAB15347.1	ALU69658.1, ALU68158.1, ALU68543.1
OG0000141	CAB15642.1, CAB15441.1	ALU72543.1, ALU72554.1, ALU73213.1, ALU73214.1
OG0000142	CAB15892.1	ALU72189.1, ALU73060.1, ALU72035.1, ALU69583.1, ALU68586.1
OG0000143	CAB15925.1	ALU71823.1, ALU72944.1, ALU68947.1, ALU72671.1, ALU72041.1
OG0000156	CAB11856.1	ALU67672.1
OG0000157	CAB13227.1	ALU68993.1
OG0000157	CAB11958.1	ALU68995.1, ALU71694.1
OG0000158	CAB12007.1, CAB12801.1	ALU68053.1
OG0000159	CAB15118.2, CAB15461.1, CAB12078.1, CAB12610.1	ALU70319.1
OG0000160	CAB12122.1, CAB13435.1	ALU71427.1
OG0000161	CAB12123.1	ALU73027.1, ALU72491.1, ALU72948.1, ALU69115.1, ALU73532.1
OG0000162	CAB12125.2	ALU71896.1
OG0000162	CAB14664.1, CAB13073.1	ALU71325.1
OG0000164	CAB12331.1, CAB12787.1, CAB12197.1	ALU67716.1, ALU68366.1
OG0000165	CAB12208.3	ALU71566.1
OG0000165	CAB14787.2	ALU70775.1
OG0000166	CAB12880.1, CAB12784.1, CAB12226.1, CAB12883.1	ALU68387.1
OG0000168	CAB15403.1, CAB12311.1	ALU72325.1, ALU68858.1, ALU72407.1
OG0000169	CAB12355.1, CAB12385.1, CAB13846.1, CAB12612.1	ALU69292.1
OG0000171	CAB12365.1	ALU71355.1, ALU71210.1, ALU68902.1, ALU67662.1, ALU69342.1
OG0000172	CAB12371.1	ALU69419.1, ALU69567.1, ALU70311.1
OG0000174	CAB15006.1, CAB14992.2, CAB12530.1, CAB14834.1, CAB15249.1	ALU69248.1
OG0000175	CAB16107.1	ALU69344.1
OG0000176	CAB12687.1	ALU70210.1, ALU70298.1, ALU73396.1, ALU71436.1
OG0000177	CAB12843.1	ALU73115.1, ALU72840.1, ALU72864.1, ALU71185.1
OG0000178	CAB13003.1, CAB13152.1, CAB12993.1	ALU68154.1, ALU73513.1
OG0000179	CAB16109.1, CAB16105.1, CAB13041.1	ALU71432.1, ALU72415.1
OG0000181	CAB13363.2, CAB15842.1	ALU72651.1, ALU71609.1, ALU69638.1
OG0000182	CAB13582.1, CAB13584.3, CAB13463.1, CAB13583.2	ALU70469.1
OG0000183	CAB13707.1, CAB14365.2	ALU72045.1, ALU71789.1, ALU71723.1
OG0000184	CAB13838.2	ALU72257.1, ALU69922.1, ALU69986.1
OG0000185	CAB14095.1	ALU70615.1, ALU71918.1, ALU68777.1, ALU69916.1
OG0000186	CAB14123.1, CAB15234.1, CAB15233.1, CAB15820.2	ALU71803.1
OG0000187	CAB14156.1	ALU70265.1
OG0000187	CAB14132.1	ALU73383.1, ALU70553.1
OG0000188	CAB14162.1, CAB15439.1, CAB14421.2	ALU72766.1, ALU71597.1
OG0000189	CAB15806.2, CAB14212.2	ALU70304.1
OG0000190	CAB15137.2, CAB14600.1, CAB14332.2	ALU71638.1
OG0000191	CAB14389.1	ALU73333.1
OG0000191	CAB15645.1	ALU70187.1
OG0000192	CAB14854.2	ALU69711.1, ALU71736.1, ALU68743.1
OG0000193	CAB14946.1	ALU67750.1, ALU73518.1, ALU69622.1
OG0000194	CAB15029.1	ALU72341.1, ALU68896.1, ALU68924.1
OG0000195	CAB15247.1, CAB15609.1	ALU68956.1
OG0000196	CAB15258.1	ALU67695.1, ALU71034.1, ALU69861.1, ALU67961.1
OG0000197	CAB15307.1	ALU72686.1, ALU68890.1, ALU70886.1
OG0000198	CAB15376.1, CAB15386.1	ALU70046.1, ALU70047.1, ALU69288.1
OG0000199	CAB15619.1	ALU69502.1, ALU68301.1, ALU71822.1
OG0000200	CAB15917.1	ALU71579.1, ALU70959.1, ALU71173.1, ALU71768.1
OG0000220	CAB11794.1	ALU67912.1
OG0000220	CAB13174.1	ALU68929.1
OG0000221	CAB11824.1	ALU71131.1, ALU68351.1
OG0000222	CAB15717.1	ALU70236.1
OG0000223	CAB13043.1, CAB11936.2	ALU72839.1
OG0000226	CAB15507.1, CAB12030.1	ALU72912.1, ALU72661.1, ALU70196.1
OG0000228	CAB13550.1	ALU71314.1
OG0000228	CAB12040.2	ALU72917.1, ALU69734.1
OG0000229	CAB12084.1	ALU70103.1, ALU67655.1
OG0000230	CAB15180.2, CAB12117.2	ALU73402.1, ALU68643.1, ALU72996.1
OG0000231	CAB12129.2	ALU72268.1, ALU70286.1, ALU69247.1, ALU70407.1
OG0000232	CAB12130.1	ALU68290.1, ALU72463.1, ALU71633.1
OG0000235	CAB12183.1, CAB14871.2, CAB16078.1	ALU72249.1
OG0000236	CAB12199.1	ALU73573.1, ALU69750.1, ALU67666.1
OG0000237	CAB12217.2	ALU68942.1, ALU68822.1, ALU69101.1
OG0000238	CAB12240.1	ALU71612.1
OG0000239	CAB12451.1, CAB12261.1, CAB12354.2	ALU70709.1
OG0000240	CAB12265.2, CAB15947.2	ALU70080.1, ALU71714.1
OG0000241	CAB12268.1, CAB14418.2	ALU68197.1, ALU70271.1
OG0000243	CAB12321.1, CAB15790.1	ALU70630.1, ALU72125.1
OG0000244	CAB12332.1	ALU72083.1, ALU68502.1, ALU72043.1
OG0000245	CAB12344.1, CAB12927.2	ALU71825.1
OG0000246	CAB13090.1, CAB13572.1, CAB12434.1	ALU70453.1
OG0000247	CAB12454.2	ALU68922.1, ALU70381.1
OG0000249	CAB12578.1, CAB15335.1, CAB15283.1	ALU67923.1
OG0000250	CAB12580.1	ALU68509.1, ALU69840.1, ALU68111.1
OG0000251	CAB13294.2, CAB12623.1	ALU71659.1, ALU68931.1
OG0000252	CAB12629.1	ALU70038.1, ALU69238.1
OG0000254	CAB12701.1, CAB14440.2	ALU72656.1, ALU67800.1
OG0000255	CAB13019.1, CAB12749.2, CAB13420.3	ALU70608.1
OG0000256	CAB13368.2, CAB12751.1, CAB14948.1	ALU71425.1
OG0000257	CAB13865.1, CAB12754.2	ALU68335.1, ALU71264.1
OG0000258	CAB12758.2	ALU71819.1, ALU69588.1, ALU71296.1
OG0000259	CAB12793.1	ALU68023.1, ALU68024.1, ALU71591.1
OG0000260	CAB15961.1, CAB12808.2	ALU72758.1
OG0000261	CAB12857.1, CAB12974.1	ALU72738.1
OG0000262	CAB12874.1	ALU71717.1
OG0000263	CAB13044.1, CAB13045.1, CAB14667.1	ALU69915.1
OG0000264	CAB13065.2, CAB13361.1	ALU71046.1
OG0000265	CAB13171.1, CAB13173.1	ALU69453.1, ALU73665.1
OG0000266	CAB13194.1, CAB13278.2	ALU69206.1, ALU70873.1
OG0000268	CAB13288.1, CAB13290.2, CAB15511.1	ALU73572.1
OG0000269	CAB13422.2	ALU71272.1, ALU68328.1, ALU68336.1
OG0000270	CAB13464.1	ALU73323.1, ALU69021.1, ALU68753.1
OG0000271	CAB14283.2, CAB13487.1	ALU70833.1, ALU71498.1
OG0000272	CAB15730.1, CAB13506.1, CAB13678.1, CAB13515.2	ALU70764.1
OG0000273	CAB13559.2, CAB15769.1, CAB13544.2	ALU71391.1
OG0000274	CAB13549.2, CAB14807.1, SOX90588.1	ALU67828.1
OG0000276	CAB15362.1, CAB13613.1, CAB13614.1	ALU71450.1, ALU71451.1
OG0000277	CAB15584.1, CAB13701.1, CAB15063.1	ALU69794.1, ALU72566.1
OG0000279	CAB16130.1, CAB15756.2, CAB13750.2	ALU71200.1
OG0000280	CAB13764.1	ALU72752.1
OG0000281	CAB15412.2, CAB13811.1	ALU69482.1, ALU68283.1
OG0000282	CAB13812.1, CAB15411.1	ALU68284.1, ALU69481.1
OG0000283	CAB13823.1	ALU72056.1, ALU68516.1, ALU72066.1
OG0000284	CAB14117.1	ALU68036.1, ALU70484.1, ALU70372.1
OG0000285	CAB16010.1, CAB14128.1	ALU71867.1, ALU73567.1
OG0000286	CAB14178.2	ALU67928.1, ALU69099.1, ALU70691.1
OG0000287	CAB14268.1	ALU68198.1
OG0000288	CAB16141.1, CAB14320.1	ALU69450.1, ALU68217.1
OG0000289	CAB15918.1, CAB14322.2	ALU72870.1, ALU69228.1
OG0000290	CAB15745.1	ALU69211.1
OG0000290	CAB14346.2	ALU71996.1
OG0000291	CAB14362.1	ALU71890.1, ALU73447.1, ALU70762.1
OG0000292	CAB14652.1	ALU67932.1, ALU70178.1, ALU68696.1
OG0000293	CAB14674.1	ALU69920.1
OG0000294	CAB14837.1	ALU72350.1
OG0000294	CAB15219.1	ALU70824.1, ALU72422.1
OG0000295	CAB14967.1	ALU68014.1, ALU73676.1
OG0000296	CAB14971.2	ALU70636.1, ALU71606.1
OG0000297	CAB15056.1	ALU72868.1, ALU69226.1
OG0000298	CAB15121.3	ALU71689.1, ALU69204.1
OG0000299	CAB15133.1	ALU73412.1, ALU73424.1, ALU73695.1
OG0000300	CAB15155.2	ALU70982.1, ALU68865.1
OG0000301	CAB15237.1	ALU68392.1, ALU68338.1
OG0000302	CAB15245.1, CAB15907.1	ALU70030.1, ALU68311.1
OG0000303	CAB15248.1	ALU69249.1, ALU68314.1, ALU70029.1
OG0000304	CAB15371.1, CAB15372.1	ALU72286.1, ALU68308.1, ALU71305.1
OG0000305	CAB15430.1	ALU69883.1, ALU72562.1, ALU72553.1
OG0000306	CAB15575.1, CAB15640.1	ALU72541.1, ALU72544.1, ALU72555.1
OG0000307	CAB15576.1	ALU72548.1, ALU72168.1
OG0000308	CAB15673.1	ALU70620.1, ALU70718.1, ALU70675.1
OG0000309	CAB15759.1	ALU67766.1, ALU73702.1
OG0000310	CAB15924.1	ALU72672.1, ALU72040.1, ALU68948.1
OG0000337	CAB11782.1, CAB13692.2	ALU68205.1
OG0000338	CAB14251.1, CAB14280.1, CAB11786.1	ALU71876.1
OG0000341	CAB11845.1	ALU73155.1
OG0000342	CAB14184.1, CAB11850.1	ALU70749.1
OG0000343	CAB11851.1	ALU68188.1, ALU68813.1
OG0000344	CAB11853.1	ALU73457.1, ALU73153.1
OG0000345	CAB12632.1, CAB11857.1	ALU69403.1
OG0000346	CAB11914.1	ALU72005.1, ALU71448.1
OG0000347	CAB12189.1, CAB11937.2, CAB15336.1	ALU70985.1
OG0000348	CAB12648.1	ALU68394.1
OG0000348	CAB11945.1	ALU72663.1
OG0000349	CAB11954.1, CAB11983.1	ALU71978.1
OG0000350	CAB12630.1, CAB11956.1	ALU68996.1
OG0000351	CAB11985.2, CAB15764.1	ALU72076.1
OG0000352	CAB11993.2	ALU68150.1, ALU73594.1, ALU69109.1
OG0000353	CAB12004.1	ALU69214.1
OG0000354	CAB12010.1	ALU70099.1
OG0000355	CAB15881.2, CAB12033.1	ALU70531.1
OG0000357	CAB12035.1, CAB12941.1	ALU70903.1
OG0000358	CAB12058.2, CAB12418.1	ALU70925.1
OG0000359	CAB12063.1	ALU73436.1, ALU68600.1
OG0000360	CAB12066.1, CAB15547.1	ALU71738.1
OG0000361	CAB12069.1, CAB12660.2	ALU69745.1
OG0000363	CAB12106.3	ALU71136.1, ALU71137.1
OG0000364	CAB12114.1, CAB15274.1	ALU69488.1
OG0000365	CAB16048.1, CAB15962.2, CAB12135.1	ALU71189.1
OG0000366	CAB12198.1	ALU67667.1, ALU68676.1
OG0000367	CAB12214.3, CAB12243.1	ALU69059.1
OG0000368	CAB12216.2	ALU69000.1, ALU73082.1
OG0000369	CAB12474.2, CAB12232.1	ALU73274.1
OG0000370	CAB12233.1, CAB13485.1	ALU67733.1
OG0000371	CAB15141.1, CAB12252.1, CAB12587.1	ALU72830.1
OG0000372	CAB12271.1, CAB13648.1	ALU71975.1
OG0000373	CAB12316.1, CAB12326.1	ALU69541.1
OG0000374	CAB12337.1, CAB15616.1, CAB14588.2	ALU71921.1
OG0000375	CAB12652.1, CAB12357.1	ALU69810.1
OG0000376	CAB13079.1, CAB13834.2, CAB12391.2	ALU72815.1
OG0000377	CAB12393.2, CAB12780.2	ALU71910.1
OG0000379	CAB13088.1, CAB12435.1, CAB13641.2	ALU70676.1
OG0000380	CAB12452.2	ALU71021.1
OG0000381	CAB12456.1, CAB14977.1	ALU69566.1
OG0000382	CAB12464.1	ALU72841.1, ALU68944.1
OG0000383	CAB12473.1, CAB15798.1	ALU72855.1
OG0000384	CAB12493.1, CAB12631.1	ALU71219.1
OG0000386	CAB12517.1	ALU70028.1, ALU68313.1
OG0000388	CAB12542.1	ALU68082.1, ALU73466.1
OG0000390	CAB12572.1	ALU70992.1, ALU70990.1, ALU71631.1
OG0000391	CAB12577.1	ALU69683.1, ALU69864.1, ALU68927.1
OG0000392	CAB14627.1, CAB15932.2, CAB12590.1	ALU72486.1
OG0000393	CAB12594.1	ALU69373.1
OG0000394	CAB14644.2, CAB12614.1	ALU68400.1
OG0000395	CAB13196.1, CAB13146.2, CAB12688.1	ALU71517.1
OG0000396	CAB14772.1, CAB12699.3	ALU72208.1
OG0000397	CAB15889.1, CAB12710.2	ALU67799.1
OG0000398	CAB12747.1	ALU67929.1
OG0000399	CAB12752.1	ALU70904.1
OG0000400	CAB12757.2	ALU69587.1, ALU71820.1
OG0000401	CAB12762.1	ALU71994.1, ALU71620.1
OG0000402	CAB12800.1	ALU71641.1, ALU71640.1
OG0000404	CAB12823.2, CAB14492.2	ALU70401.1
OG0000405	CAB12826.1, CAB14723.1	ALU71237.1
OG0000406	CAB12850.1	ALU73117.1
OG0000407	CAB12890.1	ALU71863.1, ALU73037.1
OG0000408	CAB12915.1	ALU73401.1, ALU71565.1
OG0000409	CAB15032.1, CAB12919.2, CAB16028.2	ALU70541.1
OG0000411	CAB12933.2, CAB13431.1	ALU70398.1
OG0000412	CAB16071.1, CAB12963.2	ALU70811.1
OG0000413	CAB12964.2, CAB13425.1	ALU71089.1
OG0000414	CAB13426.1, CAB12965.3	ALU71088.1
OG0000415	CAB12996.2	ALU72922.1
OG0000416	CAB13150.1, CAB13001.1	ALU67748.1
OG0000417	CAB13017.1, CAB15874.1	ALU72048.1
OG0000418	CAB15855.1, CAB13023.1	ALU72395.1
OG0000419	CAB13300.1, CAB13027.1	ALU71708.1
OG0000422	CAB14543.1, CAB13126.2	ALU70154.1
