Orthogroup	Bacillus_subtilis_aa	Rhodococcus_erythropolis_aa
OG0001182	CAB15356.1	ALU69825.1
OG0001183	CAB15365.1	ALU71655.1
OG0001184	CAB15384.1	ALU68840.1, ALU69118.1
OG0001185	CAB15390.1	ALU70040.1
OG0001186	CAB15394.1	ALU71308.1
OG0001187	CAB15395.1	ALU69898.1
OG0001188	CAB15397.1	ALU71060.1
OG0001189	CAB15398.1	ALU71061.1
OG0001190	CAB15399.1	ALU71062.1
OG0001191	CAB15408.1	ALU68966.1
OG0001192	CAB15409.1	ALU68965.1
OG0001193	CAB15410.1	ALU68964.1
OG0001194	CAB15413.1	ALU69483.1
OG0001195	CAB15414.1	ALU69484.1
OG0001198	CAB15459.1	ALU68307.1
OG0001199	CAB15471.1	ALU71461.1, ALU68597.1
OG0001200	CAB15481.2	ALU71064.1
OG0001201	CAB15482.1	ALU71065.1
OG0001202	CAB15484.1	ALU68226.1
OG0001203	CAB15491.1	ALU70703.1
OG0001204	CAB15492.1	ALU70699.1
OG0001205	CAB15493.1	ALU70697.1
OG0001206	CAB15494.1	ALU70695.1
OG0001207	CAB15495.1	ALU70692.1
OG0001208	CAB15496.1	ALU70690.1
OG0001209	CAB15497.1	ALU70908.1
OG0001210	CAB15501.1	ALU69358.1, ALU72561.1
OG0001211	CAB15504.1	ALU70754.1
OG0001212	CAB15505.1	ALU70975.1
OG0001213	CAB15533.1	ALU70792.1
OG0001214	CAB15534.1	ALU70784.1
OG0001215	CAB15537.1	ALU69069.1
OG0001216	CAB15665.1, CAB15538.1	ALU69418.1
OG0001217	CAB15542.1	ALU71656.1
OG0001218	CAB15543.1	ALU71657.1
OG0001219	CAB15546.1	ALU71660.1
OG0001220	CAB15548.1	ALU71739.1
OG0001221	CAB15562.2	ALU71740.1
OG0001222	CAB15568.1	ALU69757.1
OG0001223	CAB15570.1	ALU70239.1
OG0001224	CAB15592.1	ALU72547.1
OG0001225	CAB15625.1	ALU72171.1
OG0001227	CAB15632.1	ALU73556.1, ALU69321.1
OG0001229	CAB15653.1	ALU69790.1
OG0001230	CAB15666.2	ALU70072.1
OG0001231	CAB15669.1	ALU71529.1
OG0001232	CAB15681.1	ALU69396.1
OG0001233	CAB15687.1	ALU71627.1
OG0001234	CAB15688.1	ALU73479.1, ALU70342.1
OG0001235	CAB15691.1, CAB15690.1	ALU67837.1
OG0001236	CAB15718.1	ALU70235.1
OG0001237	CAB15724.1	ALU70234.1
OG0001238	CAB15725.2	ALU70233.1
OG0001239	CAB15726.1	ALU69941.1
OG0001240	CAB15728.3	ALU71048.1
OG0001241	CAB15743.1	ALU70831.1
OG0001242	CAB15746.1	ALU72534.1
OG0001243	CAB15750.1	ALU71521.1
OG0001244	CAB15761.1	ALU70228.1
OG0001245	CAB15776.1	ALU67673.1
OG0001246	CAB15777.1	ALU69011.1
OG0001247	CAB15780.1	ALU72446.1
OG0001248	CAB15785.1	ALU68856.1
OG0001249	CAB15792.1	ALU71900.1, ALU67878.1
OG0001250	CAB15794.1	ALU71201.1
OG0001251	CAB15799.2	ALU71907.1, ALU70659.1
OG0001252	CAB15809.1	ALU67975.1
OG0001253	CAB15810.1	ALU67976.1
OG0001254	CAB16022.2, CAB15822.2	ALU69017.1
OG0001255	CAB15823.1	ALU71547.1
OG0001256	CAB15844.2	ALU72572.1
OG0001257	CAB15850.2	ALU69666.1
OG0001258	CAB15851.1	ALU73124.1
OG0001259	CAB15873.1	ALU72389.1
OG0001260	CAB15876.1	ALU67705.1, ALU73387.1
OG0001261	CAB15898.1	ALU71976.1
OG0001262	CAB15931.2	ALU68494.1
OG0001263	CAB15971.1	ALU69100.1
OG0001264	CAB15972.1	ALU69096.1
OG0001265	CAB15973.1	ALU69095.1
OG0001266	CAB15976.2	ALU71841.1
OG0001267	CAB15978.2	ALU72277.1
OG0001268	CAB15979.1	ALU69585.1
OG0001269	CAB16079.1	ALU72444.1
OG0001270	CAB16081.2	ALU68386.1
OG0001271	CAB16085.1	ALU71705.1
OG0001272	CAB16087.1	ALU68385.1
OG0001273	CAB16103.1	ALU69406.1
OG0001274	CAB16111.1	ALU71586.1
OG0001275	CAB16128.1	ALU68382.1
OG0001276	CAB16129.1	ALU69955.1
OG0001277	CAB16133.1	ALU68222.1
OG0001278	CAB16137.1	ALU68220.1
OG0001279	CAB16140.1	ALU68218.1
OG0001280	CAB16143.1	ALU68214.1
OG0001281	CAE01447.2	ALU73083.1, ALU68999.1
OG0001282	CAE01448.1	ALU69618.1, ALU68802.1
OG0001284	CAX52584.1	ALU69336.1
OG0001449	CAB11807.1	ALU67732.1
OG0001451	CAB11835.1	ALU69208.1
OG0001453	CAB11843.1	ALU73157.1
OG0001455	CAB11864.1	ALU73099.1
OG0001457	CAB11869.1	ALU72780.1
OG0001458	CAB11905.1	ALU72014.1
OG0001459	CAB11934.1	ALU72725.1
OG0001465	CAB12017.1	ALU72434.1
OG0001466	CAB12021.1	ALU72357.1
OG0001468	CAB12041.1	ALU68675.1
OG0001471	CAB12055.2	ALU69326.1
OG0001472	CAB12056.2	ALU69173.1
OG0001474	CAB12060.2	ALU73417.1
OG0001478	CAB12096.2	ALU68102.1
OG0001479	CAB12102.2	ALU69001.1
OG0001482	CAB12112.1	ALU68682.1
OG0001484	CAB12120.1	ALU68530.1
OG0001487	CAB12139.1	ALU73473.1
OG0001488	CAB12140.1	ALU73474.1
OG0001489	CAB12153.2	ALU72418.1
OG0001492	CAB12175.2	ALU72802.1
OG0001494	CAB12221.1	ALU68185.1
OG0001495	CAB12237.1	ALU72564.1
OG0001496	CAB12239.1	ALU71220.1
OG0001497	CAB12241.1	ALU70614.1
OG0001499	CAB12248.1	ALU71124.1
OG0001507	CAB12283.1	ALU69194.1
OG0001508	CAB12284.1	ALU69195.1
OG0001509	CAB12285.2	ALU71514.1
OG0001510	CAB12293.1	ALU73638.1
OG0001516	CAB12320.1	ALU73095.1
OG0001517	CAB12323.1	ALU69485.1
OG0001518	CAB12324.1	ALU68949.1
OG0001519	CAB12330.1	ALU71415.1
OG0001520	CAB12338.1	ALU69729.1
OG0001521	CAB12339.1	ALU68514.1
OG0001522	CAB12347.1	ALU67715.1
OG0001526	CAB12387.1	ALU71499.1
OG0001531	CAB12409.1	ALU71549.1
OG0001532	CAB12425.1	ALU70206.1
OG0001533	CAB12426.1	ALU67916.1
OG0001536	CAB12443.1	ALU70139.1
OG0001537	CAB12450.2	ALU68017.1
OG0001538	CAB12453.2	ALU71020.1
OG0001539	CAB12479.1	ALU69953.1
OG0001541	CAB12507.1	ALU73141.1
OG0001542	CAB12511.1	ALU70667.1
OG0001548	CAB12556.1	ALU69831.1
OG0001549	CAB12574.1	ALU69452.1
OG0001552	CAB12586.1	ALU68706.1
OG0001555	CAB12617.1	ALU70479.1
OG0001557	CAB12628.2	ALU69468.1
OG0001558	CAB12635.1	ALU69595.1
OG0001559	CAB12636.1	ALU69596.1
OG0001560	CAB12641.1	ALU69252.1
OG0001563	CAB12659.1	ALU72836.1
OG0001565	CAB12663.1	ALU70295.1
OG0001567	CAB12670.1	ALU72475.1
OG0001568	CAB12674.1	ALU67925.1
OG0001569	CAB12680.1	ALU70526.1
OG0001571	CAB12714.2	ALU68904.1
OG0001574	CAB12727.1	ALU70203.1
OG0001577	CAB12759.2	ALU71833.1
OG0001578	CAB12777.1	ALU68698.1
OG0001583	CAB12820.1	ALU69492.1
OG0001584	CAB12829.2	ALU69627.1
OG0001585	CAB12830.2	ALU69626.1
OG0001589	CAB12864.1	ALU70272.1
OG0001590	CAB12866.1	ALU69808.1
OG0001591	CAB12867.2	ALU67870.1
OG0001597	CAB12926.1	ALU68658.1
OG0001600	CAB12942.1	ALU72163.1
OG0001608	CAB13021.1	ALU67921.1
OG0001609	CAB13022.1	ALU70158.1
OG0001610	CAB13024.1	ALU72394.1
OG0001613	CAB13046.1	ALU69796.1
OG0001616	CAB13054.1	ALU70307.1
OG0001617	CAB13055.1	ALU69353.1
OG0001618	CAB13063.1	ALU71726.1
OG0001620	CAB13081.1	ALU69314.1
OG0001644	CAB13172.1	ALU69454.1
OG0001647	CAB13187.1	ALU70024.1
OG0001648	CAB13197.1	ALU69241.1
OG0001649	CAB13198.1	ALU71030.1
OG0001660	CAB13354.1	ALU69932.1
OG0001661	CAB13359.1	ALU71543.1
OG0001663	CAB13378.2	ALU71681.1
OG0001664	CAB13380.1	ALU71539.1
OG0001667	CAB13398.2	ALU70866.1
OG0001668	CAB13400.1	ALU70865.1
OG0001670	CAB13408.2	ALU71605.1
OG0001672	CAB13413.3	ALU70595.1
OG0001673	CAB13416.1	ALU70598.1
OG0001675	CAB13439.1	ALU71460.1
OG0001676	CAB13451.1	ALU71730.1
OG0001691	CAB13579.1	ALU69569.1
OG0001701	CAB13700.1	ALU67987.1
OG0001702	CAB13708.1	ALU72058.1
OG0001703	CAB13709.1	ALU72044.1
OG0001704	CAB13719.1	ALU69579.1
OG0001709	CAB13798.1	ALU72383.1
OG0001711	CAB13827.1	ALU70805.1
OG0001712	CAB13840.2	ALU70610.1
OG0001714	CAB13856.1	ALU69563.1
OG0001722	CAB14108.1	ALU72824.1
OG0001723	CAB14116.1	ALU67897.1
OG0001724	CAB14118.1	ALU70928.1
OG0001729	CAB14140.1	ALU70190.1
OG0001732	CAB14165.1	ALU71352.1
OG0001735	CAB14254.1	ALU70835.1
OG0001738	CAB14281.1	ALU71832.1
OG0001740	CAB14289.2	ALU68602.1
OG0001743	CAB14308.2	ALU69927.1
OG0001745	CAB14318.2	ALU70991.1
OG0001746	CAB14327.1	ALU69818.1
OG0001750	CAB14344.2	ALU69184.1
OG0001752	CAB14357.2	ALU70826.1
OG0001753	CAB14361.2	ALU69944.1
OG0001755	CAB14384.1	ALU71358.1
OG0001756	CAB14388.2	ALU70530.1
OG0001762	CAB14482.1	ALU67783.1
OG0001763	CAB14491.1	ALU70404.1
OG0001765	CAB14506.1	ALU70370.1
OG0001767	CAB14520.2	ALU70622.1
OG0001771	CAB14596.1	ALU72891.1
OG0001772	CAB14605.1	ALU69652.1
OG0001774	CAB14611.1	ALU69514.1
OG0001775	CAB14621.1	ALU68456.1
OG0001778	CAB14643.2	ALU72298.1
OG0001780	CAB14656.1	ALU68035.1
OG0001783	CAB14681.1	ALU71106.1
OG0001784	CAB14685.1	ALU72398.1
OG0001787	CAB14730.2	ALU71163.1
OG0001789	CAB14745.1	ALU70661.1
OG0001790	CAB14746.1	ALU70663.1
OG0001791	CAB14747.1	ALU70662.1
OG0001794	CAB14790.2	ALU71569.1
OG0001795	CAB14793.1	ALU69643.1
OG0001799	CAB14831.2	ALU69952.1
OG0001800	CAB14838.1	ALU69735.1
OG0001803	CAB14852.1	ALU69662.1
OG0001804	CAB14857.1	ALU71005.1
OG0001807	CAB14877.1	ALU70961.1
OG0001809	CAB14888.1	ALU71001.1
OG0001814	CAB14934.2	ALU68503.1
OG0001818	CAB14985.1	ALU69811.1
OG0001820	CAB14999.1	ALU70639.1
OG0001821	CAB15001.1	ALU70637.1
OG0001824	CAB15024.1	ALU68892.1
OG0001825	CAB15031.1	ALU72353.1
OG0001827	CAB15040.1	ALU68431.1
OG0001829	CAB15048.1	ALU69783.1
OG0001830	CAB15058.1	ALU72176.1
OG0001831	CAB15059.1	ALU73116.1
OG0001832	CAB15060.1	ALU72170.1
OG0001836	CAB15079.1	ALU67708.1
OG0001837	CAB15083.2	ALU72091.1
OG0001839	CAB15092.1	ALU73144.1
OG0001840	CAB15095.1	ALU71858.1
OG0001841	CAB15098.1	ALU73580.1
OG0001842	CAB15100.1	ALU73581.1
OG0001850	CAB15176.2	ALU71989.1
OG0001851	CAB15187.1	ALU71344.1
OG0001852	CAB15188.1	ALU71345.1
OG0001853	CAB15190.2	ALU71346.1
OG0001856	CAB15212.1	ALU71384.1
OG0001857	CAB15215.1	ALU70231.1
OG0001861	CAB15257.1	ALU71033.1
OG0001863	CAB15287.1	ALU69188.1
OG0001864	CAB15342.1	ALU72237.1
OG0001865	CAB15349.1	ALU68570.1
OG0001871	CAB15448.1	ALU68764.1
OG0001873	CAB15480.1	ALU71063.1
OG0001875	CAB15502.1	ALU70480.1
OG0001876	CAB15515.1	ALU72193.1
OG0001882	CAB15612.1	ALU67805.1
OG0001883	CAB15613.1	ALU68957.1
OG0001884	CAB15652.1	ALU69661.1
OG0001886	CAB15662.1	ALU70694.1
OG0001887	CAB15664.1	ALU69441.1
OG0001889	CAB15679.1	ALU68782.1
OG0001890	CAB15682.1	ALU67941.1
OG0001891	CAB15697.1	ALU70248.1
OG0001892	CAB15699.1	ALU70246.1
OG0001893	CAB15700.1	ALU70245.1
OG0001894	CAB15701.1	ALU70244.1
OG0001895	CAB15703.1	ALU70242.1
OG0001896	CAB15709.1	ALU70329.1
OG0001900	CAB15775.1	ALU67664.1
OG0001902	CAB15828.1	ALU70857.1
OG0001903	CAB15846.1	ALU68699.1
OG0001905	CAB15852.1	ALU69894.1
OG0001906	CAB15853.1	ALU69895.1
OG0001907	CAB15854.2	ALU69896.1
OG0001908	CAB15856.1	ALU70502.1
OG0001911	CAB15871.1	ALU69476.1
OG0001912	CAB15875.1	ALU72192.1
OG0001913	CAB15880.2	ALU68515.1
OG0001915	CAB15897.1	ALU69097.1
OG0001916	CAB15900.1	ALU69378.1
OG0001917	CAB15901.1	ALU69377.1
OG0001919	CAB15923.2	ALU71814.1
OG0001920	CAB15927.1	ALU70012.1
OG0001921	CAB15952.1	ALU70790.1
OG0001922	CAB15988.1	ALU69540.1
OG0001924	CAB16004.1	ALU70341.1
OG0001925	CAB16005.1	ALU71873.1
OG0001926	CAB16006.2	ALU71872.1
OG0001927	CAB16009.2	ALU71870.1
OG0001928	CAB16011.2	ALU71869.1
OG0001929	CAB16012.1	ALU71874.1
OG0001930	CAB16018.1	ALU69200.1
OG0001931	CAB16038.1	ALU69979.1
OG0001932	CAB16041.2	ALU70538.1
OG0001934	CAB16080.1	ALU69631.1
OG0001936	CAB16094.1	ALU72281.1
OG0001937	CAB16102.1	ALU67883.1
OG0001938	CAB16104.2	ALU69405.1
OG0001940	CAB16113.1	ALU70942.1
OG0001941	CAB16122.1	ALU68566.1
OG0001944	CAB16142.1	ALU68215.1
OG0001945	CAE01461.2	ALU72162.1
OG0001947	CAX52540.1	ALU69438.1
OG0001952	CAX52685.1	ALU72885.1
