Orthogroup	Rhodococcus_erythropolis_aa	Deinococcus_radiodurans_aa
OG0002013	ALU68279.1	UDK99830.1
OG0002014	ALU73593.1	UDK99837.1
OG0002015	ALU68771.1	UDK99842.1
OG0002018	ALU67798.1	UDK99900.1
OG0002019	ALU71922.1	UDK99931.1
OG0002020	ALU70525.1	UDK99932.1
OG0002022	ALU70270.1	UDK99949.1
OG0002023	ALU70765.1	UDK99954.1
OG0002024	ALU71028.1	UDK99965.1
OG0002025	ALU71963.1	UDK99967.1
OG0002027	ALU71233.1	UDK99986.1
OG0002028	ALU72301.1	UDK99991.1
OG0002030	ALU68147.1	UDL00018.1
OG0002031	ALU70572.1	UDL00020.1
OG0002033	ALU71886.1	UDL00029.1
OG0002034	ALU67706.1	UDL00032.1
OG0002035	ALU69051.1	UDL00057.1
OG0002036	ALU69020.1	UDL00072.1
OG0002037	ALU69730.1	UDL00073.1
OG0002039	ALU67871.1	UDL00091.1
OG0002040	ALU71844.1	UDL00098.1
OG0002041	ALU71843.1	UDL00099.1
OG0002042	ALU72068.1	UDL00109.1
OG0002044	ALU70574.1	UDL00112.1
OG0002046	ALU68124.1	UDL00133.1
OG0002048	ALU71038.1	UDL00144.1
OG0002050	ALU67959.1	UDL00172.1
OG0002051	ALU73579.1	UDL00194.1
OG0002052	ALU70163.1	UDL00205.1
OG0002054	ALU70009.1	UDL00216.1
OG0002055	ALU71003.1	UDL00219.1
OG0002057	ALU72814.1	UDL00229.1
OG0002058	ALU72811.1	UDL00234.1
OG0002060	ALU72465.1	UDL00273.1
OG0002063	ALU71688.1	UDL00302.1
OG0002065	ALU70862.1	UDL00316.1
OG0002067	ALU69466.1	UDL00322.1
OG0002069	ALU69933.1	UDL00334.1
OG0002072	ALU73600.1	UDL00359.1
OG0002073	ALU69908.1	UDL00394.1
OG0002074	ALU71057.1	UDL00406.1
OG0002076	ALU72453.1	UDL00417.1
OG0002077	ALU71477.1	UDL00424.1
OG0002079	ALU68622.1	UDL00432.1
OG0002081	ALU72408.1	UDL00503.1
OG0002082	ALU71396.1	UDL00507.1
OG0002083	ALU69869.1	UDL00520.1
OG0002084	ALU70751.1	UDL00532.1
OG0002085	ALU71208.1	UDL00586.1
OG0002086	ALU71332.1	UDL00591.1
OG0002087	ALU71331.1	UDL00592.1
OG0002088	ALU71329.1	UDL00593.1
OG0002089	ALU71328.1	UDL00594.1
OG0002090	ALU71327.1	UDL00595.1
OG0002091	ALU71326.1	UDL00596.1
OG0002092	ALU71324.1	UDL00598.1
OG0002093	ALU71323.1	UDL00599.1
OG0002094	ALU71322.1	UDL00601.1
OG0002095	ALU71321.1	UDL00602.1
OG0002096	ALU71320.1	UDL00603.1
OG0002097	ALU71319.1	UDL00604.1
OG0002099	ALU73129.1	UDL00632.1
OG0002100	ALU69855.1	UDL00646.1
OG0002103	ALU67881.1	UDL00669.1
OG0002104	ALU69428.1	UDL00688.1
OG0002107	ALU71503.1	UDL00739.1
OG0002109	ALU67892.1	UDL00766.1
OG0002110	ALU71002.1	UDL00823.1
OG0002111	ALU68950.1	UDL00838.1
OG0002113	ALU70444.1	UDL00876.1
OG0002114	ALU69494.1	UDL00883.1
OG0002115	ALU69581.1	UDL00905.1
OG0002117	ALU70957.1	UDL00924.1
OG0002118	ALU72711.1	UDL00947.1
OG0002119	ALU67809.1	UDL00948.1
OG0002120	ALU68489.1	UDL00972.1
OG0002121	ALU72748.1	UDL01010.1
OG0002122	ALU68016.1	UDL01011.1
OG0002124	ALU71690.1	UDL01068.1
OG0002125	ALU70306.1	UDL01077.1
OG0002126	ALU70938.1	UDL01078.1
OG0002127	ALU70127.1	UDL01082.1
OG0002128	ALU70380.1	UDL01083.1
OG0002129	ALU70379.1	UDL01084.1
OG0002130	ALU69780.1	UDL01091.1
OG0002131	ALU71622.1	UDL01095.1
OG0002132	ALU70436.1	UDL01098.1
OG0002133	ALU72949.1	UDL01110.1
OG0002134	ALU71687.1	UDL01121.1
OG0002135	ALU69698.1	UDL01153.1
OG0002136	ALU69697.1	UDL01154.1
OG0002138	ALU68363.1	UDL01175.1
OG0002139	ALU69646.1	UDL01212.1
OG0002140	ALU68968.1	UDL01220.1
OG0002141	ALU71087.1	UDL01230.1
OG0002142	ALU70025.1	UDL01235.1
OG0002143	ALU67652.1	UDL01243.1
OG0002144	ALU67651.1	UDL01246.1
OG0002145	ALU67653.1	UDL01247.1
OG0002146	ALU69903.1	UDL01251.1
OG0002147	ALU67656.1	UDL01254.1
OG0002148	ALU73101.1	UDL01264.1
OG0002150	ALU69629.1	UDL01282.1
OG0002151	ALU73267.1	UDL01287.1
OG0002152	ALU71504.1	UDL01304.1
OG0002153	ALU70552.1	UDL01309.1
OG0002154	ALU68683.1	UDL01343.1
OG0002156	ALU69994.1	UDL01349.1
OG0002157	ALU72990.1	UDL01352.1
OG0002158	ALU69768.1	UDL01378.1
OG0002159	ALU69764.1	UDL01390.1
OG0002161	ALU68685.1	UDL01400.1
OG0002162	ALU68693.1	UDL01402.1
OG0002163	ALU68692.1	UDL01403.1
OG0002164	ALU68690.1	UDL01405.1
OG0002165	ALU69767.1	UDL01410.1
OG0002167	ALU67922.1	UDL01417.1
OG0002168	ALU72291.1	UDL01427.1
OG0002169	ALU70322.1	UDL01429.1
OG0002171	ALU71654.1	UDL01449.1
OG0002173	ALU70364.1	UDL01459.1
OG0002175	ALU68820.1	UDL01470.1
OG0002177	ALU72832.1	UDL01509.1
OG0002178	ALU68618.1	UDL01513.1
OG0002179	ALU72336.1	UDL01530.1
OG0002180	ALU70179.1	UDL01533.1
OG0002181	ALU69769.1	UDL01536.1
OG0002182	ALU72687.1	UDL01579.1
OG0002183	ALU69766.1	UDL01583.1
OG0002184	ALU70287.1	UDL01584.1
OG0002185	ALU71113.1	UDL01585.1
OG0002186	ALU70227.1	UDL01614.1
OG0002188	ALU72767.1	UDL01645.1
OG0002189	ALU70547.1	UDL01650.1
OG0002190	ALU69909.1	UDL01676.1
OG0002192	ALU68919.1	UDL01733.1
OG0002193	ALU71555.1	UDL01735.1
OG0002195	ALU72993.1	UDL01797.1
OG0002196	ALU69389.1	UDL01799.1
OG0002197	ALU70536.1	UDL01800.1
OG0002198	ALU72606.1	UDL01905.1
OG0002199	ALU72605.1	UDL01907.1
OG0002200	ALU69196.1	UDL01915.1
OG0002201	ALU68573.1	UDL01916.1
OG0002203	ALU69257.1	UDL01943.1
OG0002204	ALU69973.1	UDL01953.1
OG0002205	ALU68990.1	UDL01964.1
OG0002206	ALU68748.1	UDL01965.1
OG0002207	ALU68750.1	UDL01966.1
OG0002208	ALU69045.1	UDL01969.1
OG0002209	ALU68758.1	UDL01970.1
OG0002210	ALU73470.1	UDL01995.1
OG0002211	ALU68391.1	UDL02004.1
OG0002212	ALU68390.1	UDL02005.1
OG0002213	ALU68901.1	UDL02006.1
OG0002214	ALU70535.1	UDL02007.1
OG0002215	ALU68695.1	UDL02020.1
OG0002216	ALU68029.1	UDL02021.1
OG0002217	ALU68667.1	UDL02030.1
OG0002219	ALU67726.1	UDL02048.1
OG0002220	ALU68099.1	UDL02057.1
OG0002221	ALU68098.1	UDL02058.1
OG0002222	ALU67937.1	UDL02060.1
OG0002223	ALU67938.1	UDL02061.1
OG0002224	ALU71387.1	UDL02063.1
OG0002225	ALU72316.1	UDL02068.1
OG0002226	ALU72317.1	UDL02069.1
OG0002227	ALU72318.1	UDL02070.1
OG0002228	ALU72319.1	UDL02071.1
OG0002229	ALU72320.1	UDL02073.1
OG0002231	ALU69348.1	UDL02084.1
OG0002232	ALU68774.1	UDL02085.1
OG0002233	ALU72871.1	UDL02086.1
OG0002234	ALU69005.1	UDL02090.1
OG0002235	ALU69675.1	UDL02092.1
OG0002236	ALU68013.1	UDL02109.1
OG0002238	ALU72247.1	UDL02119.1
OG0002239	ALU72664.1	UDL02120.1
OG0002240	ALU69090.1	UDL02125.1
OG0002241	ALU71430.1	UDL02144.1
OG0002242	ALU71429.1	UDL02145.1
OG0002243	ALU70477.1	UDL02146.1
OG0002244	ALU71447.1	UDL02148.1
OG0002245	ALU70887.1	UDL02151.1
OG0002246	ALU70885.1	UDL02153.1
OG0002247	ALU69316.1	UDL02169.1
OG0002248	ALU69081.1	UDL02182.1
OG0002249	ALU69080.1	UDL02183.1
OG0002250	ALU70419.1	UDL02210.1
OG0002251	ALU70418.1	UDL02213.1
OG0002252	ALU70420.1	UDL02214.1
OG0002253	ALU70421.1	UDL02215.1
OG0002254	ALU72588.1	UDL02218.1
OG0002255	ALU73334.1	UDL02261.1
OG0002256	ALU70944.1	UDL02264.1
OG0002257	ALU73338.1	UDL02279.1
