Orthogroup	Rhodococcus_erythropolis_aa	Deinococcus_radiodurans_aa
OG0000070	ALU73064.1	UDL01986.1
OG0000072	ALU70208.1, ALU70051.1, ALU72967.1, ALU69533.1, ALU71710.1, ALU69873.1	UDL02056.1
OG0000073	ALU69402.1, ALU73162.1, ALU71764.1, ALU68041.1	UDL01571.1, UDL00587.1
OG0000074	ALU69983.1	UDK99457.1
OG0000074	ALU72962.1	UDK99951.1, UDK99950.1, UDK99303.1, UDK99731.1, UDL00033.1, UDL00120.1
OG0000081	ALU70000.1, ALU71147.1, ALU72391.1, ALU70055.1	UDL00156.1
OG0000082	ALU73441.1, ALU70924.1, ALU72607.1	UDK99968.1
OG0000083	ALU71274.1	UDL02203.1
OG0000085	ALU67735.1, ALU69826.1, ALU68936.1, ALU72598.1	UDL00061.1
OG0000086	ALU67902.1, ALU72053.1, ALU70459.1, ALU72889.1, ALU72788.1, ALU71915.1	UDK99316.1
OG0000087	ALU69634.1	UDK99659.1
OG0000087	ALU71026.1	UDL00720.1
OG0000088	ALU70973.1, ALU71249.1	UDL01028.1, UDL01990.1
OG0000089	ALU72843.1, ALU69519.1	UDL01662.1
OG0000090	ALU73418.1, ALU68442.1	UDL00789.1, UDK99531.1
OG0000091	ALU68760.1, ALU73375.1, ALU72747.1	UDK99286.1
OG0000093	ALU73514.1, ALU68155.1	UDL01978.1, UDL00102.1
OG0000094	ALU70018.1, ALU69788.1	UDL00831.1, UDL00131.1
OG0000095	ALU67893.1, ALU68671.1, ALU68087.1, ALU69905.1, ALU69904.1	UDL01321.1, UDK99650.1
OG0000096	ALU72206.1	UDK99389.1, UDK99537.1
OG0000097	ALU72741.1, ALU71767.1, ALU70085.1, ALU73052.1	UDK99657.1
OG0000098	ALU69270.1, ALU71363.1, ALU73463.1, ALU71920.1, ALU72474.1, ALU70658.1	UDK99891.1
OG0000099	ALU70791.1	UDL02054.1
OG0000100	ALU72768.1, ALU68792.1, ALU72262.1, ALU69707.1, ALU72916.1, ALU70563.1	UDL01318.1
OG0000101	ALU72678.1, ALU69950.1, ALU72795.1	UDK99451.1, UDL00055.1
OG0000102	ALU69773.1, ALU70723.1, ALU72771.1, ALU73519.1, ALU67727.1, ALU73325.1	UDL01902.1
OG0000103	ALU70043.1, ALU69291.1, ALU69289.1	UDL01911.1
OG0000104	ALU69739.1, ALU69738.1, ALU70159.1, ALU68537.1, ALU67769.1	UDL01616.1, UDK99600.1
OG0000105	ALU69034.1, ALU70385.1, ALU72926.1, ALU72946.1, ALU73319.1, ALU73131.1, ALU68426.1	UDL01544.1
OG0000111	ALU73135.1, ALU68935.1, ALU72194.1, ALU69471.1, ALU72481.1	UDL00184.1
OG0000112	ALU67684.1, ALU70773.1	UDL01696.1
OG0000114	ALU67725.1, ALU70093.1, ALU69176.1	UDL01284.1
OG0000116	ALU67760.1, ALU73245.1, ALU72695.1, ALU70489.1, ALU68577.1	UDK99829.1
OG0000119	ALU70435.1, ALU70708.1	UDL01850.1
OG0000119	ALU70621.1	UDL00700.1
OG0000120	ALU69190.1, ALU68940.1, ALU68866.1	UDL00294.1
OG0000121	ALU72803.1, ALU72421.1	UDK99725.1
OG0000122	ALU68260.1	UDK99294.1, UDK99248.1
OG0000123	ALU70312.1	UDL02096.1
OG0000124	ALU68151.1, ALU72435.1, ALU70640.1	UDL02170.1, UDL02219.1, UDK99785.1
OG0000125	ALU68375.1, ALU68316.1	UDL01653.1
OG0000126	ALU72219.1, ALU70216.1, ALU68096.1, ALU70396.1	UDL01794.1
OG0000127	ALU70374.1	UDL00647.1, UDK99274.1, UDL00964.1, UDL01034.1
OG0000128	ALU68153.1, ALU73512.1, ALU67724.1	UDL00658.1
OG0000129	ALU69742.1, ALU68654.1, ALU70981.1	UDL00095.1
OG0000131	ALU72880.1	UDL00149.1, UDL00150.1
OG0000132	ALU73505.1, ALU68404.1, ALU72587.1, ALU72517.1	UDL00080.1
